sentiment	productId	userId	summary	text	helpfulY	helpfulN
		A3J4NARZK4Q4PX	Suprisingly yummy...great texture!	My daughter wanted to try these because she used to love jerky type snacks prior to becoming vegetarian. I have tried other brands of veggie snacks similar to these so I did not have high expectations. I was pleasantly surprised! These are yummy! Great texture & flavor. Great ingredients too! We will be stocking up on these as a healthy, convenient protein packed snack.	7	1
		A1Z6CKPOBXUZ49	"now made from Concentrate, ""natural flavor"" added..yuk!"	"Coca Cola now partially owns Zico. So, now it's made from concentrate, has added ""natural flavors"" and is packaged in plastic. How to ruin nature's perfect drink for profit. This was my favorite, now I will not buy this ""new formula"" again...Looking to find another like Zico used to be. Don't know yet if the Zico tetra pak is still the ""old formula""..also..rumor has it that Pepsi is looking to buy Vita Coco..so will be keeping my eye on this, too"	8	4
		A36SXS4ME0K854	Protein content too high... gave my dog acute renal failure.  RIP Ollie	About 3 months ago I researched all the different foods and finally decided to purchase EVO because I thought it was what was best for my dog.  He is 3 1/2 and healthy (or at least he WAS until recently).  He has routine physicals including bloodwork for kidney problems so I didn't worry when I read that this food can cause problems with underlying kidney disease.  One day he began having diarrhea and refused to eat... I thought, no big deal dogs get tummy upsets once in awhile, right?  But he didnt get better.  His Belly and hind legs started to swell so much that the skin looked like it would tear...  multiple labs and fecals showed kidney disease of unknown cause.  He has had ultrasounds, multiple blood and urine cultures, a plasma transfusion and is now on multiple medications.  His BUN/CREAT has shot up and he now refuses to eat ANYTHING.  His entire diet consists of water, pills and whatever vitamin paste I can force him to take.  My heart is breaking for him...  I can't do anything and feel helpless.  If it goes on much longer without improving I will face the horrible decision of humane euthanization.  I feel that it was caused 100% from the high protein diet.  We can find NO other cause and he has no underlying kidney disease.  Please choose a different food and save the pain that my dog and I are going through right now.<br />UPDATE>>> Not long after I made this review Ollie lost his battle to acute renal failure at the young age of 3.  No other underlying condition was found and my vet feels that the extremely high protein content in EVO is what shut his kidneys down.  RIP Ollie... :-(	3	0
		AB9NYVKQO5C4Q	Not My Cup of Tea	"I didn't like this tea at all.  I prepared it according to package directions but it was very, very green and kind of thick.  I didn't like the taste but I will admit I didn't drink much of it.  I think I'll stick to the regular white, green and oolong tea.  I thought of making the tea ""weaker"" but didn't....I don't think I would have liked it any better :)"	2	16
		A2SPS4EMAMWQDI	Rhubarb Spread	I should have read the label on this: It is a spread, not jam. The flavor is acceptable, but I've been looking for a good rhubarb (not rhubarb-strawberry) jam since Bonne Maman stopped making theirs several years ago. I'm not rating my disappointment, though--even as a spread I thought this was average. I've also tried Andresy's rose jan (3 stars) and fig jam (4 stars).	0	0
		A3RSXTJ29W69UI	Bitter and tasteless	"Inexpensive and it's clear why: it's bitter and tasteless,  whether brewed for a minute or four. To be immediately relegated to ""emergentea"" at the back of the cupboard. Get this instead: <a href=""http://www.amazon.com/gp/product/B001E5DXY0"">Taylors of Harrogate, Yorkshire Gold Tea, Loose Leaf, 8.8-Ounce Packages (Pack of 3)</a>"	1	0
		A36WGHR8TO5DKT	Agree; Best Chips I've Ever Had; Uber High in Vitamin C	I am an instant convert.  I would never purchase any other chips but these.<br /><br />The 12-pack of 5-oz bags shipped in a carton-inside-a-carton, arriving in great condition.  The chip bags are a sturdy plastic, and all chips appear to be in good condition.  Notably, these appear to have hardly any broken chips.<br /><br />A 1-oz. serving has only 140 calories, and 40% of your daily Vitamin C!  If eating only 1/5 of a bag of chips sounds unlikely to you, it's possible you could do it with these, since they are rich and leave you feeling sated.  I think that is because these are real food, rather than junk food.<br /><br />The individual chips roughly average 2 inches in diameter, some of them being folded in various shapes, and some flat.  The chip size is much more consistent than you usually see.  It's hard to tell, but I think these are unpeeled potatoes, of the variety that has a light-toned skin.  They are definitely thin chips, but I would say they are slightly thicker than Lay's potato chips.  The sea salt is used in balanced proportion, and adds nice flavor.  The avocado oil lends a very tasty, extremely subtle flavor that hints of citrus and fruitiness.  However, don't get me wrong - these don't taste fruity or sweet; they taste like regular potato chips.  They just have what I'd describe as a more sophisticated complexity in their simplicity.	2	0
		A3D0G7ZGY2LCOG	Special K Granola Bars - Good for a quick snack	These bars are cereal with dark chocolate and contain 110 calories with 4 gram of fiber and 4 grams of protein.  They aren't especially tasty, but would be good to have on hand for a quick low calorie snack.  They do contain peanut ingredients and may contain tree nuts which may effect people with allergies.	0	0
		A1OMXVXXP07F05	All that sugar and no real boost for me.	Not sure why I didn't get any real boost from this.  To me, it really isn't anything more than glorified Mountain Dew.  With 33g of sugar per serving (2 servings per can) and 130 calories each, it should at least give you enough energy to offset the calorie and sugar intake it provides.	1	0
		A3VOQNDCES5053	Some flavors are better than others	I bought YummyEarth Organic Lollipops to have to have in my office as an alternative to regular candy. First, the mini candy jar containers are handy and cute for display. Then there are the lollipops that look great and the flavors sound delicious. However, I didn't care for any of the flavors accept for the pomegranate (dark red). The pomegranate flavor was very good and exotic. The others were not very good. They tasted bitter. Long story short, no one in the office liked them either...and we have some hard-core sugar junkies that passed on them. If they sold a bag of pomegranate only, I might buy them again.	1	0
		A3R7A2954ZKBZK	bread mixes	bought as gift for hard to buy for father...he LOVED  bread said it was delicious !!	1	0
		A4TGFU3KSNSN1	If you like the smell of feet and the taste of chalk, this bar's for you	"I like to try all different health food bars and when I saw one that combined my two favorite things together (chocolate and hazelnuts) I said, ""oooh I have to try"".  I was sorely disappointed.  I bought two of these and I was excited to try one.  I opened it and was hit by the awful smell of... well a foot-like scent.  So that was a turnoff, but I said hey I have never been one to let looks or smell hinder me from trying something new.  So I went ahead and ate it.  I had to force myself to finish it.  It was like torture eating this.  It tasted awful.  I actually opened up the second and dared a coworker to try it because it was so bad.  He tried it and he felt the same way.  It has almost no flavor, but what flavor it does have lingers in your mouth and grosses you out.<br /><br />Who I'd recommend it to:  1.) People that like to give friends that lose bets something awful to eat. 2.) My enemies."	3	3
		A17VP7NMCFXVZA	Loved this drink mix.	Loved this drink mix.  Tasty, easy to use.  Loved the lower calories.  Plan to order this product, again.  Thirst quenching.	0	0
		A294154CGM7J9T	Just okay	This product was not as flavorful as I had expected.  The only flavors of the variety pack that I really liked were the jalepeno and the honey mustard and onion.  Two flavors I would not ordinarily enjoy. For the cost, I would not purchase again.	2	1
		A1K769403XG1EV	Tasty Oats	I found it difficult to get the Quaker Oats old-fashioned oatmeal on Amazon without having to pay shipping charges, so I tried these.  (I absolutely do not like the one-minute oats.  They are merely flakes of oats and not oats--but that's just my personal choice.)  The Country Choice Organic Oats are delicious, at least as good as the competition, and I like buying organic products.  Most importantly, the children like them and could tell no difference between these oats and the Quaker Oats they normally eat.  When we're finished eating this batch of oats, I will order another.	0	0
		A3SCB9NQJLJUTU	Great refreshing drink.	I am blessed with pure, great tasting water from my well, but it doesn't revitalize me nearly as much as<br />a cold container of Vita Coco Coconut water.	0	0
